시군구,동반자유형,만족도,재방문의도,타인추천의도,성별,연령대
경기 화성시,친구/연인,매우 만족,높음,높음,여,20대
강원 홍천군,친구/연인,매우 만족,매우 높음,높음,여,50대
경기 가평군,가족,매우 만족,매우 높음,높음,여,30대
경기 안양시,가족,만족,높음,높음,남,50대
경기 파주시,가족,보통,높음,높음,여,60대
제주 서귀포시,친구/연인,매우 만족,높음,높음,여,20대
강원 속초시,가족,만족,높음,매우 높음,여,50대
강원 정선군,친구/연인,만족,매우 높음,높음,여,30대
경남 창원시,(직장)동료,만족,보통,높음,여,40대
경기 양평군,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
대전 유성구,가족,매우 만족,매우 높음,매우 높음,여,30대
충북 단양군,가족,매우 만족,매우 높음,매우 높음,남,40대
충북 보은군,친구/연인,매우 만족,매우 높음,매우 높음,여,50대
전남 나주시,가족,만족,보통,보통,여,60대
강원 강릉시,가족,만족,높음,높음,여,30대
강원 속초시,가족,매우 만족,높음,높음,남,40대
경기 이천시,친구/연인,만족,높음,매우 높음,여,50대
경기 가평군,친구/연인,만족,높음,높음,남,20대
전북 전주시,친구/연인,만족,높음,높음,여,20대
경기 용인시,가족,만족,높음,보통,여,30대
충남 당진시,(직장)동료,만족,높음,보통,남,50대
울산 울주군,가족,만족,높음,높음,여,70세 이상
전북 남원시,가족,만족,높음,높음,여,70세 이상
전북 전주시,(직장)동료,만족,높음,높음,남,40대
경남 통영시,친구/연인,만족,높음,높음,여,50대
강원 동해시,친목 모임,매우 만족,높음,매우 높음,남,50대
강원 강릉시,가족,매우 만족,매우 높음,높음,남,30대
경기 안산시,친구/연인,매우 만족,높음,높음,여,20대
경기 가평군,친구/연인,매우 만족,매우 높음,매우 높음,여,30대
경기 양평군,친구/연인,매우 만족,매우 높음,매우 높음,남,20대
강원 속초시,친구/연인,매우 만족,매우 높음,매우 높음,남,50대
전북 정읍시,친목 모임,만족,높음,매우 높음,남,40대
강원 양구군,친척,만족,높음,높음,여,30대
경기 남양주시,가족,매우 만족,매우 높음,높음,남,30대
경기 고양시,친구/연인,매우 만족,매우 높음,매우 높음,여,30대
서울 종로구,친구/연인,매우 만족,매우 높음,매우 높음,남,20대
경기 고양시,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
제주 제주시,친구/연인,매우 만족,매우 높음,매우 높음,남,50대
서울 영등포구,가족,매우 만족,매우 높음,높음,남,50대
경기 양평군,친구/연인,매우 만족,매우 높음,높음,남,20대
경기 파주시,친구/연인,매우 만족,매우 높음,매우 높음,여,60대
전북 전주시,가족,매우 만족,매우 높음,매우 높음,남,30대
충남 예산군,가족,매우 만족,높음,높음,남,40대
경북 경주시,가족,매우 만족,매우 높음,높음,여,30대
서울 중구,친구/연인,매우 만족,매우 높음,높음,여,20대
제주 서귀포시,친구/연인,만족,높음,높음,여,50대
충북 보은군,(직장)동료,만족,높음,높음,남,70세 이상
경기 가평군,친구/연인,매우 만족,매우 높음,높음,남,20대
전북 정읍시,친구/연인,매우 만족,매우 높음,매우 높음,여,50대
서울 강남구,가족,매우 만족,매우 높음,매우 높음,남,30대
충북 청주시,친구/연인,만족,높음,높음,여,30대
강원 양양군,친척,만족,높음,높음,여,50대
충남 보령시,가족,매우 만족,높음,높음,남,30대
경기 이천시,친구/연인,매우 만족,매우 높음,매우 높음,남,20대
경기 부천시,가족,만족,높음,높음,남,50대
강원 강릉시,가족,만족,높음,높음,남,40대
제주 서귀포시,친구/연인,만족,높음,높음,남,30대
경기 파주시,친구/연인,매우 만족,매우 높음,매우 높음,남,15~19세
경북 경주시,친구/연인,매우 만족,높음,높음,남,60대
전남 순천시,친구/연인,매우 만족,매우 높음,높음,여,40대
충남 공주시,친구/연인,매우 만족,매우 높음,매우 높음,남,30대
강원 춘천시,친구/연인,매우 만족,매우 높음,높음,여,50대
충남 당진시,친구/연인,매우 만족,매우 높음,매우 높음,남,50대
강원 홍천군,가족,매우 만족,매우 높음,매우 높음,여,30대
전남 완도군,친구/연인,만족,높음,높음,여,50대
충남 태안군,가족,만족,높음,보통,남,40대
충북 괴산군,친목 모임,만족,높음,높음,남,50대
강원 철원군,친구/연인,만족,높음,높음,여,40대
경기 포천시,친구/연인,만족,매우 높음,높음,남,20대
제주 제주시,가족,만족,높음,높음,남,40대
대전 서구,가족,만족,높음,높음,남,70세 이상
전남 완도군,친구/연인,만족,높음,높음,여,50대
충북 제천시,친목 모임,만족,높음,높음,남,50대
충남 공주시,친구/연인,만족,높음,높음,여,50대
전북 부안군,친구/연인,만족,높음,높음,여,50대
충남 당진시,친구/연인,만족,높음,높음,여,60대
강원 강릉시,친구/연인,만족,높음,높음,여,50대
경기 가평군,친목 모임,만족,높음,보통,남,20대
경북 포항시,친구/연인,만족,높음,높음,여,50대
서울 은평구,친구/연인,만족,높음,높음,남,50대
서울 중구,친구/연인,만족,높음,높음,여,20대
전북 무주군,친목 모임,만족,높음,높음,남,40대
경기 광주시,친구/연인,만족,높음,높음,여,50대
강원 강릉시,친구/연인,만족,높음,높음,여,40대
경기 고양시,친구/연인,만족,높음,높음,여,60대
경남 거제시,친구/연인,만족,매우 높음,높음,여,50대
충북 제천시,친구/연인,만족,높음,높음,여,20대
충남 태안군,친구/연인,만족,높음,매우 높음,남,20대
전북 무주군,친구/연인,만족,매우 높음,높음,남,30대
강원 강릉시,가족,만족,높음,높음,남,30대
충남 아산시,친목 모임,만족,높음,높음,여,70세 이상
전북 완주군,가족,만족,높음,높음,남,40대
경기 가평군,친구/연인,만족,높음,높음,여,50대
경기 양평군,친구/연인,만족,높음,높음,여,50대
강원 홍천군,친구/연인,만족,높음,높음,여,50대
경기 안성시,친목 모임,만족,높음,높음,남,30대
강원 철원군,친구/연인,만족,높음,높음,남,50대
강원 속초시,친구/연인,매우 만족,매우 높음,매우 높음,남,50대
광주 서구,가족,매우 만족,매우 높음,매우 높음,여,50대
경기 파주시,친구/연인,매우 만족,매우 높음,높음,남,15~19세
강원 속초시,친구/연인,매우 만족,매우 높음,매우 높음,여,30대
부산 해운대구,가족,매우 만족,매우 높음,매우 높음,남,30대
제주 서귀포시,친구/연인,매우 만족,높음,매우 높음,여,20대
경기 용인시,친구/연인,만족,높음,높음,여,60대
경기 양평군,가족,만족,보통,보통,남,40대
강원 강릉시,친척,매우 만족,매우 높음,높음,여,50대
경북 경주시,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
경기 파주시,친구/연인,매우 만족,매우 높음,매우 높음,남,20대
제주 서귀포시,친구/연인,매우 만족,매우 높음,매우 높음,남,50대
강원 강릉시,가족,매우 만족,매우 높음,매우 높음,남,30대
강원 속초시,친구/연인,매우 만족,매우 높음,매우 높음,남,40대
울산 울주군,가족,매우 만족,매우 높음,매우 높음,여,60대
전남 여수시,친구/연인,만족,높음,높음,여,50대
서울 강북구,가족,만족,높음,높음,남,50대
서울 송파구,친구/연인,만족,높음,높음,여,20대
강원 평창군,친구/연인,만족,높음,높음,남,20대
강원 속초시,친구/연인,만족,높음,높음,여,50대
전남 구례군,친구/연인,매우 만족,매우 높음,높음,여,40대
충남 태안군,친구/연인,매우 만족,매우 높음,매우 높음,여,60대
경기 양평군,친구/연인,매우 만족,매우 높음,매우 높음,남,20대
서울 동대문구,친구/연인,만족,높음,높음,여,20대
서울 송파구,친구/연인,만족,높음,높음,남,20대
강원 춘천시,친구/연인,만족,높음,높음,여,40대
경기 파주시,친구/연인,만족,높음,높음,여,20대
경북 경주시,친구/연인,만족,높음,높음,여,50대
부산 해운대구,친구/연인,만족,높음,높음,여,50대
경남 하동군,친목 모임,만족,높음,높음,남,50대
경기 파주시,친목 모임,만족,높음,높음,여,60대
경기 용인시,친구/연인,만족,높음,높음,남,20대
경북 포항시,친구/연인,만족,매우 높음,높음,여,20대
경기 양평군,(직장)동료,만족,높음,높음,여,40대
전북 전주시,친구/연인,만족,높음,높음,남,30대
경남 통영시,친구/연인,만족,높음,높음,여,50대
경기 동두천시,친구/연인,만족,높음,높음,남,30대
경북 울진군,친구/연인,만족,높음,높음,여,50대
충북 단양군,가족,만족,높음,높음,남,40대
서울 송파구,친구/연인,만족,높음,매우 높음,남,20대
서울 마포구,가족,만족,높음,높음,여,50대
제주 서귀포시,가족,만족,높음,높음,남,40대
경기 파주시,가족,만족,높음,높음,여,70세 이상
서울 영등포구,친구/연인,만족,높음,높음,남,60대
경기 용인시,가족,만족,높음,높음,남,40대
경기 남양주시,친구/연인,만족,높음,높음,여,20대
경기 광주시,(직장)동료,만족,높음,높음,남,30대
서울 중구,가족,만족,높음,보통,남,40대
충남 예산군,가족,매우 만족,높음,높음,여,60대
서울 용산구,친구/연인,보통,보통,보통,여,50대
강원 춘천시,친구/연인,매우 만족,높음,높음,남,20대
경기 파주시,친구/연인,만족,높음,높음,여,60대
강원 속초시,(직장)동료,만족,높음,높음,여,20대
경기 고양시,친구/연인,만족,높음,높음,남,70세 이상
경기 성남시,친목 모임,만족,높음,높음,남,50대
경기 고양시,친구/연인,만족,높음,높음,여,60대
서울 도봉구,(직장)동료,보통,보통,보통,남,20대
서울 관악구,친구/연인,만족,매우 높음,높음,여,50대
서울 종로구,가족,매우 만족,높음,높음,여,40대
경기 안산시,가족,만족,높음,높음,남,50대
경기 여주시,가족,만족,높음,높음,남,40대
전남 여수시,친구/연인,매우 만족,높음,높음,남,20대
경기 여주시,친구/연인,만족,높음,높음,남,40대
경기 가평군,가족,만족,높음,높음,남,50대
충북 증평군,가족,매우 만족,높음,높음,여,70세 이상
서울 서초구,친구/연인,만족,높음,높음,여,20대
경기 안양시,가족,만족,높음,높음,여,40대
경기 고양시,친구/연인,만족,높음,높음,여,50대
대전 유성구,친구/연인,만족,높음,높음,여,30대
경기 김포시,친구/연인,만족,높음,높음,남,40대
서울 은평구,친구/연인,만족,높음,높음,남,50대
서울 강서구,친목 모임,만족,높음,높음,여,70세 이상
강원 인제군,친구/연인,만족,높음,높음,여,50대
서울 중구,친구/연인,만족,높음,높음,남,60대
서울 강남구,친구/연인,만족,높음,높음,여,20대
경기 성남시,친구/연인,만족,높음,높음,남,50대
서울 송파구,친척,만족,보통,보통,남,20대
경기 파주시,(직장)동료,보통,보통,보통,여,40대
경기 김포시,기타,만족,높음,높음,여,70세 이상
강원 속초시,친목 모임,만족,높음,높음,여,50대
서울 강남구,친구/연인,만족,높음,높음,남,20대
경기 김포시,(직장)동료,보통,보통,보통,여,40대
경기 포천시,친척,만족,높음,높음,여,60대
경기 김포시,가족,만족,높음,높음,여,60대
충남 보령시,친목 모임,만족,높음,높음,여,60대
경기 고양시,가족,만족,보통,높음,남,40대
충남 보령시,친목 모임,매우 만족,높음,높음,여,70세 이상
제주 서귀포시,가족,만족,높음,높음,여,30대
경기 양주시,가족,만족,높음,높음,남,40대
서울 강남구,친구/연인,만족,높음,높음,남,20대
서울 관악구,친구/연인,매우 만족,매우 높음,매우 높음,남,70세 이상
서울 서대문구,친목 모임,만족,높음,높음,여,60대
경기 김포시,가족,보통,보통,보통,남,50대
대구 달성군,가족,만족,높음,높음,남,40대
충남 금산군,친구/연인,보통,보통,보통,남,30대
경기 김포시,친구/연인,만족,높음,높음,여,50대
경기 포천시,가족,만족,높음,높음,남,60대
서울 강서구,친구/연인,만족,높음,높음,여,20대
경기 고양시,가족,만족,높음,높음,남,60대
서울 중구,친구/연인,만족,높음,높음,여,50대
경기 김포시,친구/연인,만족,높음,높음,남,30대
서울 강남구,친구/연인,매우 만족,높음,높음,남,50대
전북 군산시,친목 모임,만족,높음,높음,여,70세 이상
서울 마포구,친구/연인,만족,높음,높음,여,50대
서울 중구,친구/연인,만족,높음,높음,여,50대
서울 송파구,가족,만족,높음,높음,여,70세 이상
서울 용산구,친구/연인,매우 만족,높음,높음,여,20대
강원 횡성군,가족,만족,높음,높음,남,40대
경기 평택시,가족,만족,높음,높음,여,60대
서울 중구,친구/연인,만족,높음,높음,남,30대
경기 김포시,가족,만족,높음,높음,남,40대
서울 동대문구,가족,만족,높음,높음,여,30대
경기 안산시,친목 모임,만족,보통,높음,남,60대
전북 무주군,친구/연인,만족,매우 높음,높음,여,50대
전남 여수시,친구/연인,만족,높음,높음,여,70세 이상
강원 강릉시,친구/연인,매우 만족,높음,높음,남,20대
부산 해운대구,친구/연인,만족,높음,높음,여,70세 이상
전남 순천시,친구/연인,만족,높음,보통,여,60대
제주 서귀포시,친구/연인,매우 만족,높음,매우 높음,여,70세 이상
경남 거제시,친구/연인,만족,보통,높음,여,40대
전남 신안군,가족,매우 만족,높음,높음,여,50대
서울 성북구,친구/연인,만족,높음,높음,여,40대
강원 춘천시,가족,매우 만족,높음,높음,여,30대
부산 해운대구,가족,만족,높음,높음,남,40대
강원 강릉시,친구/연인,만족,매우 높음,높음,여,20대
전북 무주군,친구/연인,매우 만족,높음,높음,여,30대
경남 남해군,가족,매우 만족,매우 높음,높음,남,15~19세
전남 무안군,친구/연인,만족,높음,높음,남,20대
전남 목포시,친구/연인,만족,높음,높음,남,70세 이상
대전 유성구,가족,만족,높음,높음,여,40대
전남 여수시,친구/연인,보통,보통,보통,여,30대
충남 태안군,가족,만족,높음,높음,남,70세 이상
제주 서귀포시,친척,매우 만족,높음,높음,여,70세 이상
전남 담양군,친구/연인,매우 만족,매우 높음,높음,남,15~19세
전남 화순군,가족,매우 만족,높음,매우 높음,여,50대
전남 장흥군,가족,매우 만족,매우 높음,매우 높음,남,60대
제주 서귀포시,가족,매우 만족,매우 높음,매우 높음,여,20대
전남 여수시,친구/연인,만족,매우 높음,높음,남,50대
전남 진도군,가족,보통,보통,보통,여,30대
충남 태안군,가족,만족,매우 높음,높음,남,40대
전북 부안군,친구/연인,만족,높음,보통,여,50대
전남 장흥군,가족,만족,매우 높음,높음,남,15~19세
전북 부안군,가족,만족,보통,높음,여,30대
전북 전주시,친구/연인,만족,보통,보통,여,20대
전남 완도군,친구/연인,보통,보통,보통,남,20대
전남 해남군,가족,만족,매우 높음,높음,여,30대
전남 영광군,가족,만족,보통,높음,여,40대
전남 해남군,가족,매우 만족,높음,매우 높음,남,40대
전북 부안군,친구/연인,만족,높음,높음,여,70세 이상
전남 곡성군,친구/연인,만족,보통,높음,여,20대
전남 순천시,가족,보통,보통,높음,남,40대
전남 순천시,친구/연인,보통,높음,보통,여,20대
전남 여수시,가족,만족,높음,보통,남,20대
전남 신안군,가족,보통,낮음,높음,여,40대
전북 임실군,친구/연인,보통,높음,보통,여,20대
전북 정읍시,친구/연인,만족,매우 높음,매우 높음,남,20대
부산 강서구,친구/연인,매우 만족,높음,높음,남,70세 이상
전북 고창군,가족,만족,높음,매우 높음,남,50대
전남 순천시,가족,만족,매우 높음,높음,남,30대
충남 부여군,친구/연인,만족,높음,높음,여,40대
전남 무안군,친구/연인,만족,높음,높음,남,50대
전남 나주시,가족,만족,높음,높음,남,20대
전북 완주군,친구/연인,만족,높음,높음,여,50대
전북 군산시,친구/연인,만족,보통,보통,여,20대
전남 신안군,친구/연인,만족,보통,보통,여,30대
전남 보성군,친구/연인,만족,보통,높음,남,70세 이상
전남 신안군,친구/연인,만족,보통,높음,남,20대
전남 보성군,친구/연인,만족,높음,높음,여,30대
전남 장흥군,친구/연인,보통,높음,보통,여,20대
전북 익산시,가족,만족,매우 높음,높음,남,40대
전남 담양군,친구/연인,만족,높음,보통,여,50대
전남 보성군,가족,매우 만족,높음,높음,여,40대
전북 무주군,친구/연인,매우 만족,높음,매우 높음,여,20대
전북 진안군,가족,만족,매우 높음,높음,남,60대
전북 부안군,친구/연인,만족,매우 높음,매우 높음,여,50대
전남 강진군,가족,만족,높음,높음,남,70세 이상
전북 전주시,가족,만족,매우 높음,높음,여,30대
전남 여수시,친구/연인,매우 만족,높음,높음,남,20대
전북 정읍시,친구/연인,만족,높음,매우 높음,남,40대
전남 함평군,가족,매우 만족,매우 높음,매우 높음,여,50대
제주 제주시,친구/연인,매우 만족,매우 높음,매우 높음,남,20대
전북 순창군,친구/연인,매우 만족,매우 높음,매우 높음,남,70세 이상
전북 김제시,가족,매우 만족,매우 높음,매우 높음,여,70세 이상
전남 나주시,가족,매우 만족,높음,매우 높음,여,30대
전남 여수시,가족,매우 만족,높음,높음,남,30대
전남 신안군,친구/연인,만족,높음,높음,남,15~19세
전남 영광군,친구/연인,만족,높음,높음,남,50대
전남 함평군,친구/연인,매우 만족,매우 높음,매우 높음,여,50대
제주 서귀포시,친구/연인,만족,높음,높음,여,20대
전북 부안군,친구/연인,매우 만족,높음,매우 높음,남,40대
전남 영광군,가족,만족,높음,높음,여,20대
경북 경주시,친구/연인,만족,높음,높음,남,15~19세
전남 완도군,친목 모임,매우 만족,매우 높음,매우 높음,여,20대
전남 여수시,가족,매우 만족,높음,높음,여,50대
전남 순천시,친구/연인,보통,보통,보통,남,20대
제주 서귀포시,가족,매우 만족,매우 높음,매우 높음,여,40대
전남 진도군,가족,매우 만족,높음,높음,남,70세 이상
전남 담양군,친구/연인,매우 만족,높음,높음,남,30대
전남 보성군,가족,보통,보통,보통,여,50대
제주 서귀포시,친구/연인,만족,높음,높음,남,20대
전남 강진군,가족,만족,높음,높음,여,30대
전남 강진군,가족,매우 만족,매우 높음,매우 높음,여,40대
전북 정읍시,가족,만족,높음,높음,여,50대
전남 나주시,가족,만족,높음,높음,남,50대
전남 담양군,친구/연인,만족,높음,보통,여,20대
전북 고창군,친구/연인,만족,높음,높음,남,70세 이상
제주 서귀포시,가족,만족,높음,높음,남,15~19세
경북 안동시,가족,보통,보통,보통,여,40대
전남 여수시,가족,보통,보통,보통,남,40대
울산 동구,가족,보통,낮음,낮음,남,15~19세
전남 여수시,친구/연인,만족,높음,높음,남,40대
전남 완도군,가족,보통,보통,보통,남,50대
전남 신안군,가족,불만족,낮음,낮음,여,70세 이상
제주 서귀포시,친척,보통,보통,보통,남,70세 이상
전남 신안군,친척,만족,높음,높음,남,15~19세
전남 목포시,가족,만족,높음,높음,여,20대
전남 목포시,가족,만족,보통,높음,여,70세 이상
전남 순천시,친구/연인,만족,높음,높음,남,20대
전북 임실군,친구/연인,만족,높음,높음,여,30대
전북 익산시,가족,만족,보통,높음,남,40대
전북 익산시,친구/연인,만족,높음,보통,남,50대
전남 무안군,친구/연인,만족,높음,높음,남,15~19세
전남 곡성군,가족,만족,높음,높음,여,20대
전북 군산시,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
전남 보성군,가족,만족,높음,높음,남,50대
전북 부안군,가족,매우 만족,매우 높음,매우 높음,여,50대
경남 사천시,가족,만족,매우 높음,높음,남,40대
전남 담양군,친구/연인,매우 만족,매우 높음,매우 높음,남,15~19세
전남 여수시,가족,매우 만족,매우 높음,매우 높음,남,70세 이상
전남 담양군,가족,매우 만족,매우 높음,매우 높음,여,70세 이상
전남 나주시,친구/연인,만족,높음,높음,남,20대
경기 평택시,(직장)동료,매우 만족,매우 높음,매우 높음,남,20대
전남 곡성군,가족,매우 만족,매우 높음,매우 높음,여,40대
전남 진도군,가족,매우 만족,매우 높음,매우 높음,여,50대
전남 장성군,가족,만족,높음,보통,남,70세 이상
전남 담양군,가족,매우 만족,높음,높음,여,40대
경남 남해군,가족,매우 만족,높음,높음,여,20대
전북 정읍시,가족,만족,높음,높음,여,30대
전북 부안군,친구/연인,만족,매우 높음,높음,남,20대
전남 영광군,가족,만족,높음,높음,남,15~19세
전북 부안군,친구/연인,매우 만족,높음,높음,여,50대
전북 순창군,가족,매우 만족,매우 높음,매우 높음,여,70세 이상
전남 구례군,가족,매우 만족,매우 높음,매우 높음,여,30대
전남 구례군,친구/연인,만족,높음,높음,여,20대
전남 나주시,가족,만족,높음,높음,남,20대
전남 순천시,가족,매우 만족,매우 높음,매우 높음,남,50대
전북 부안군,친구/연인,매우 만족,매우 높음,매우 높음,남,20대
전남 순천시,가족,만족,높음,높음,여,40대
전북 고창군,가족,만족,높음,높음,남,50대
제주 제주시,가족,만족,높음,높음,남,40대
전남 구례군,친구/연인,매우 만족,매우 높음,높음,남,20대
부산 해운대구,가족,매우 만족,높음,높음,남,50대
전북 남원시,친구/연인,만족,높음,높음,여,30대
전남 무안군,친구/연인,만족,높음,높음,여,20대
전남 목포시,친구/연인,만족,높음,높음,여,40대
전남 화순군,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
전남 완도군,가족,매우 만족,매우 높음,매우 높음,남,40대
강원 춘천시,친구/연인,매우 만족,매우 높음,매우 높음,여,50대
전북 남원시,친구/연인,매우 만족,매우 높음,매우 높음,남,20대
전남 보성군,가족,매우 만족,매우 높음,매우 높음,여,40대
전북 남원시,가족,만족,높음,높음,남,15~19세
전남 해남군,가족,매우 만족,매우 높음,매우 높음,여,50대
전북 순창군,친구/연인,만족,매우 높음,높음,여,30대
전북 전주시,친구/연인,만족,높음,높음,여,20대
전북 부안군,친구/연인,매우 만족,매우 높음,매우 높음,남,70세 이상
서울 노원구,가족,매우 만족,매우 높음,매우 높음,여,70세 이상
전남 신안군,가족,매우 만족,매우 높음,매우 높음,남,70세 이상
전남 목포시,친구/연인,매우 만족,매우 높음,매우 높음,남,20대
전북 부안군,가족,매우 만족,매우 높음,매우 높음,남,15~19세
전북 정읍시,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
전남 함평군,친구/연인,매우 만족,매우 높음,매우 높음,여,30대
경북 포항시,가족,매우 만족,높음,높음,남,40대
부산 해운대구,친구/연인,매우 만족,높음,높음,여,20대
전남 화순군,친구/연인,매우 만족,높음,높음,여,50대
경북 안동시,가족,보통,높음,보통,남,50대
충남 아산시,가족,만족,높음,보통,여,70세 이상
전북 전주시,가족,만족,보통,높음,남,15~19세
전남 보성군,친구/연인,보통,보통,낮음,여,20대
전북 장수군,친구/연인,보통,보통,높음,여,30대
인천 연수구,친구/연인,만족,보통,높음,여,50대
전남 신안군,친구/연인,만족,보통,높음,남,40대
충남 서천군,가족,만족,보통,높음,여,40대
전남 순천시,친구/연인,보통,높음,보통,남,40대
전남 담양군,친목 모임,만족,높음,높음,남,20대
울산 동구,가족,불만족,낮음,낮음,여,40대
강원 정선군,가족,만족,보통,높음,여,30대
경남 밀양시,가족,만족,보통,높음,여,70세 이상
전남 보성군,(직장)동료,만족,높음,높음,여,20대
인천 옹진군,가족,만족,높음,보통,여,40대
전북 남원시,가족,만족,매우 높음,높음,남,40대
전북 순창군,가족,만족,높음,높음,여,70세 이상
부산 수영구,가족,만족,높음,높음,남,70세 이상
부산 수영구,가족,보통,보통,보통,여,50대
전남 담양군,가족,만족,높음,높음,남,15~19세
전남 진도군,가족,만족,높음,높음,여,20대
충남 태안군,가족,매우 만족,매우 높음,매우 높음,남,40대
전북 남원시,가족,만족,높음,높음,여,70세 이상
제주 서귀포시,친구/연인,매우 만족,높음,높음,남,20대
제주 서귀포시,가족,매우 만족,높음,높음,남,40대
전남 목포시,친구/연인,만족,높음,매우 높음,여,40대
충남 천안시,친구/연인,매우 만족,높음,높음,남,50대
경남 통영시,친구/연인,매우 만족,매우 높음,매우 높음,여,50대
전남 곡성군,가족,만족,높음,높음,남,40대
전남 강진군,가족,매우 만족,매우 높음,매우 높음,남,50대
전남 함평군,친구/연인,매우 만족,매우 높음,매우 높음,남,70세 이상
전남 곡성군,가족,매우 만족,매우 높음,매우 높음,여,40대
대전 유성구,가족,매우 만족,매우 높음,매우 높음,여,70세 이상
전남 무안군,친구/연인,매우 만족,높음,높음,남,20대
충북 청주시,가족,매우 만족,매우 높음,매우 높음,여,60대
전남 화순군,가족,보통,보통,보통,남,70세 이상
전북 남원시,가족,만족,매우 높음,높음,여,40대
전남 신안군,가족,만족,높음,매우 높음,여,30대
전남 강진군,친구/연인,매우 만족,매우 높음,매우 높음,여,50대
전북 부안군,(직장)동료,만족,높음,높음,남,40대
서울 마포구,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
경북 경주시,가족,매우 만족,매우 높음,매우 높음,여,40대
제주 제주시,친구/연인,매우 만족,매우 높음,매우 높음,남,30대
전남 여수시,친구/연인,매우 만족,매우 높음,매우 높음,남,20대
전북 부안군,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
전북 군산시,가족,매우 만족,매우 높음,높음,여,30대
전북 정읍시,가족,만족,높음,높음,여,30대
전남 여수시,친구/연인,만족,보통,높음,여,40대
경기 용인시,친구/연인,만족,매우 높음,높음,남,40대
강원 속초시,가족,만족,높음,높음,여,50대
전북 전주시,가족,만족,높음,높음,남,30대
강원 강릉시,친구/연인,불만족,낮음,보통,남,50대
전남 순천시,가족,만족,높음,보통,남,40대
전남 담양군,가족,만족,높음,높음,남,30대
전북 군산시,가족,만족,높음,높음,남,50대
전남 화순군,가족,만족,높음,높음,남,15~19세
전남 순천시,친구/연인,만족,높음,높음,여,40대
전북 부안군,친구/연인,만족,높음,높음,여,50대
전남 보성군,가족,만족,보통,높음,여,50대
전남 화순군,가족,만족,높음,보통,여,70세 이상
전북 남원시,친구/연인,매우 만족,높음,높음,여,20대
전북 부안군,가족,만족,높음,높음,남,40대
전남 곡성군,가족,만족,높음,높음,남,30대
전남 여수시,친구/연인,매우 만족,높음,높음,여,50대
전남 진도군,가족,매우 만족,매우 높음,매우 높음,여,40대
전남 담양군,친구/연인,만족,높음,보통,남,15~19세
경남 남해군,가족,만족,높음,높음,남,30대
충북 진천군,가족,만족,높음,높음,남,40대
전남 완도군,가족,만족,높음,높음,여,50대
서울 서대문구,(직장)동료,만족,높음,높음,남,50대
경기 고양시,가족,만족,높음,높음,여,40대
부산 동구,(직장)동료,만족,높음,높음,남,50대
인천 강화군,친척,만족,보통,보통,여,70세 이상
제주 서귀포시,가족,보통,높음,보통,남,70세 이상
부산 사하구,친구/연인,매우 만족,높음,높음,여,20대
전남 강진군,가족,만족,높음,높음,남,15~19세
전남 영암군,친구/연인,만족,높음,높음,여,30대
전북 순창군,가족,만족,높음,높음,남,30대
전남 목포시,친구/연인,만족,보통,높음,여,50대
전남 여수시,친구/연인,만족,높음,높음,여,40대
전남 무안군,가족,만족,높음,높음,남,40대
부산 해운대구,가족,만족,높음,높음,여,20대
전북 임실군,가족,만족,높음,높음,남,20대
전북 전주시,가족,매우 만족,매우 높음,매우 높음,남,50대
전남 나주시,(직장)동료,만족,높음,높음,남,30대
전북 부안군,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
전북 정읍시,가족,매우 만족,매우 높음,매우 높음,여,70세 이상
제주 제주시,가족,매우 만족,매우 높음,매우 높음,여,40대
전북 부안군,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
전남 영광군,친구/연인,매우 만족,매우 높음,매우 높음,여,50대
전남 순천시,가족,매우 만족,매우 높음,매우 높음,남,40대
전남 여수시,친구/연인,매우 만족,매우 높음,매우 높음,여,20대
전북 부안군,가족,매우 만족,매우 높음,매우 높음,여,40대
전북 무주군,친목 모임,만족,높음,높음,여,70세 이상
인천 부평구,친구/연인,만족,높음,매우 높음,남,50대
전남 완도군,가족,만족,높음,높음,여,50대
제주 제주시,친구/연인,만족,매우 높음,높음,여,20대
인천 중구,가족,보통,보통,보통,여,40대
부산 해운대구,가족,만족,높음,높음,여,50대
전남 순천시,친구/연인,만족,매우 높음,높음,여,20대
강원 속초시,친구/연인,보통,보통,보통,남,40대
전남 완도군,가족,만족,높음,높음,남,50대
충남 공주시,가족,보통,보통,낮음,남,15~19세
경기 성남시,친구/연인,만족,매우 높음,매우 높음,여,30대
전북 군산시,친척,만족,높음,보통,남,50대
전남 목포시,가족,매우 만족,높음,높음,여,40대
전남 담양군,친구/연인,매우 만족,매우 높음,높음,여,20대
전북 장수군,가족,만족,보통,보통,여,30대
전남 여수시,친구/연인,만족,높음,보통,여,20대
전남 목포시,가족,만족,높음,높음,남,20대
전남 담양군,가족,만족,높음,높음,여,60대
전남 화순군,가족,매우 만족,높음,높음,남,30대
